Protein,Gene,Description,log2FC,pvalue,adj.pvalue,Status
O88307,O88307,Uncharacterized protein,-3.34026242162637,6.84173314047243e-06,0.0853164122616912,Not Significant
Q9H0B6,KLC2,kinesin light chain 2,-0.791069018406506,0.000111012290650248,0.692161632204293,Not Significant
A0A075B6H7;A0A0C4DH55;P01624,A0A075B6H7,Uncharacterized protein,-0.491355515671318,0.497911330753181,0.999830560976539,Not Significant
A0A075B6K5;P80748,A0A075B6K5,Uncharacterized protein,-1.2455993154227,0.0366576290130807,0.999830560976539,Not Significant
A0A0A0MRZ8;P04433,A0A0A0MRZ8,Uncharacterized protein,-0.387871054736797,0.662870854864442,0.999830560976539,Not Significant
A0A0B4J1X5;A0A0C4DH42;P01764;P01767;P01768;P01772;P0DP02;P0DP03,A0A0B4J1X5,Uncharacterized protein,-0.504222486965536,0.708367861583132,0.999830560976539,Not Significant
A0A0B4J2D5;P0DPI2,A0A0B4J2D5,Uncharacterized protein,0.112142427553189,0.532290687575136,0.999830560976539,Not Significant
A0A0C4DH32,A0A0C4DH32,Uncharacterized protein,0.181458639367778,0.784511111444261,0.999830560976539,Not Significant
A0A0G2JEB6,A0A0G2JEB6,Uncharacterized protein,-0.545105373094822,0.459436751313229,0.999830560976539,Not Significant
A0A1W2P872,A0A1W2P872,Uncharacterized protein,0.186077549559813,0.375015076415529,0.999830560976539,Not Significant
A0A1W2PQ72,MSANTD7,Myb/SANT DNA binding domain containing 7,0.233382782083069,0.617438318483393,0.999830560976539,Not Significant
A0A338P6K9,A0A338P6K9,Uncharacterized protein,0.0820760573697295,0.709491024912633,0.999830560976539,Not Significant
A0A7N9VSG0,A0A7N9VSG0,Uncharacterized protein,0.436732799191545,0.023562217109907,0.999830560976539,Not Significant
A0AV96,RBM47,RNA binding motif protein 47,-0.144093536497149,0.482729930472885,0.999830560976539,Not Significant
A0AVT1,UBA6,ubiquitin like modifier activating enzyme 6,0.0643461148158054,0.712859637353952,0.999830560976539,Not Significant
A0FGR8,ESYT2,extended synaptotagmin 2,0.0138258015756337,0.961577939842934,0.999830560976539,Not Significant
A0JNW5,BLTP3B,bridge-like lipid transfer protein family member 3B,0.313946282383462,0.567806928792892,0.999830560976539,Not Significant
A0MZ66,SHTN1,shootin 1,0.0268867645500332,0.88482215958369,0.999830560976539,Not Significant
A0PJW6,TMEM223,transmembrane protein 223,-0.180451449846449,0.592325962300023,0.999830560976539,Not Significant
A1IGU5,ARHGEF37,Rho guanine nucleotide exchange factor 37,-0.0990585688912136,0.749302543058641,0.999830560976539,Not Significant
A1L0T0,HACL2,2-hydroxyacyl-CoA lyase 2,-0.150774712008115,0.700624442479466,0.999830560976539,Not Significant
A1L314,A1L314,Uncharacterized protein,-0.280240683829759,0.429264500832953,0.999830560976539,Not Significant
A1L3P4,A1L3P4,Uncharacterized protein,-0.158949823850524,0.487315295251129,0.999830560976539,Not Significant
A1X283,SH3PXD2B,SH3 and PX domains 2B,0.929506697354732,0.444697850158084,0.999830560976539,Not Significant
A2A288,ZC3H12D,zinc finger CCCH-type containing 12D,0.226584704713975,0.413490210896075,0.999830560976539,Not Significant
A2A432,A2A432,Uncharacterized protein,0.0577382166388641,0.701135567171462,0.999830560976539,Not Significant
A2A4P0,A2A4P0,Uncharacterized protein,0.100124551354073,0.710629812803549,0.999830560976539,Not Significant
A2A5R2,A2A5R2,Uncharacterized protein,0.026109300439644,0.865889325842347,0.999830560976539,Not Significant
A2A5Z6,A2A5Z6,Uncharacterized protein,0.477639888252782,0.126941417047789,0.999830560976539,Not Significant
A2A6A1,A2A6A1,Uncharacterized protein,-0.154588576960456,0.420031993685367,0.999830560976539,Not Significant
A2A6Q5,A2A6Q5,Uncharacterized protein,-0.00867082932289739,0.955203732128315,0.999830560976539,Not Significant
A2A791,A2A791,Uncharacterized protein,0.0659489409444245,0.787083043424692,0.999830560976539,Not Significant
A2A884,A2A884,Uncharacterized protein,0.262836315403629,0.222753927431668,0.999830560976539,Not Significant
A2A8L1,A2A8L1,Uncharacterized protein,-0.300710891901846,0.29983533391658,0.999830560976539,Not Significant
A2A8U2,A2A8U2,Uncharacterized protein,0.0917679156042656,0.874642377846838,0.999830560976539,Not Significant
