Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
A0A1W2PQ72,KO_vs_WT,0.186058779404749,0.393456284304604,0.472882977923684,1,0.718792556209635,0.999774437519936,,0.625,0
A0AV96,KO_vs_WT,-0.166174215301178,0.184453682080888,-0.900899420529355,6,0.402353437611663,0.999774437519936,,0.589285714285714,0.0178571428571429
A0AVT1,KO_vs_WT,0.0470427670700749,0.152265877385293,0.308951472765222,6,0.767805218674483,0.999774437519936,,0.58495145631068,0.00728155339805825
A0FGR8,KO_vs_WT,-0.00786482808575486,0.274240592216331,-0.0286785702371543,6,0.978051052664583,0.999774437519936,,0.601190476190476,0.0744047619047619
A0JNW5,KO_vs_WT,0.211722797007639,0.469674903697806,0.450785842165976,6,0.667976371227413,0.999774437519936,,0.734375,0.171875
A0MZ66,KO_vs_WT,0.00388025573877286,0.176166578058892,0.022026060683745,6,0.983141399781994,0.999774437519936,,0.553370786516854,0.0098314606741573
A0PJW6,KO_vs_WT,-0.204080881869628,0.313077197785526,-0.651854824666707,6,0.538647805519301,0.999774437519936,,0.597222222222222,0.0416666666666667
A1IGU5,KO_vs_WT,-0.118563167604229,0.28903336416231,-0.410205818099424,6,0.695900102662196,0.999774437519936,,0.669642857142857,0.0982142857142857
A1L0T0,KO_vs_WT,-0.216603258251107,0.358065703833645,-0.604926011991751,6,0.567386240473627,0.999774437519936,,0.582589285714286,0.0200892857142857
A1X283,KO_vs_WT,0.954209327964128,1.00954375320353,0.945188680466982,2,0.444331662329117,0.999774437519936,,0.5,0
A2A288,KO_vs_WT,0.0705666857893101,0.305108783896817,0.231283691305245,5,0.826261089536562,0.999774437519936,,0.694444444444445,0.0833333333333333
A2AJT9,KO_vs_WT,-0.246329400491995,0.245226836858387,-1.00449609695143,6,0.353915653852658,0.999774437519936,,0.433333333333333,0.1
A2RRD8,KO_vs_WT,-0.120036962525291,0.290899696020365,-0.41264038487303,6,0.694209433409739,0.999774437519936,,0.4375,0.104166666666667
A2RRP1,KO_vs_WT,0.150248030895635,0.279888634961102,0.536813618446907,6,0.610707896390731,0.999774437519936,,0.652122641509434,0.097877358490566
A2RTX5,KO_vs_WT,0.111958425053408,0.254257942581673,0.44033403211168,6,0.675115348872021,0.999774437519936,,0.631944444444445,0.0763888888888889
A2RUC4,KO_vs_WT,-0.401199587571874,0.591094250436519,-0.678740466982364,4,0.534542866383627,0.999774437519936,,0.645833333333333,0.0208333333333333
A2RUS2,KO_vs_WT,0.157281594205125,0.133589996765049,1.1773455948333,6,0.283639850753288,0.999774437519936,,0.611940298507463,0.0690298507462687
A2VDF0,KO_vs_WT,-0.561011149118701,0.400425927777899,-1.40103602239731,3,0.255728880938443,0.999774437519936,,0.725,0.1
