Protein,Gene,Description,Direction,n_WT,n_KO,n_present,Confidence
O00519,FAAH,fatty acid amide hydrolase,KO-only,0,4,4,High (4/4)
Q86SQ9,DHDDS,dehydrodolichyl diphosphate synthase subunit,KO-only,0,3,3,Moderate (3/4)
Q96L46,CAPNS2,calpain small subunit 2,WT-only,3,0,3,Moderate (3/4)
Q5J8M3,EMC4,ER membrane protein complex subunit 4,WT-only,3,0,3,Moderate (3/4)
Q96DR8,MUCL1,mucin like 1,WT-only,3,0,3,Moderate (3/4)
Q15021,NCAPD2,non-SMC condensin I complex subunit D2,WT-only,3,0,3,Moderate (3/4)
P40967,PMEL,premelanosome protein,WT-only,3,0,3,Moderate (3/4)
Q86SG5,S100A7A,S100 calcium binding protein A7A,WT-only,3,0,3,Moderate (3/4)
Q96G97,BSCL2,"BSCL2 lipid droplet biogenesis associated, seipin",KO-only,0,0,0,None
P13164,IFITM1,interferon induced transmembrane protein 1,KO-only,0,0,0,None
Q9GZY0;Q9H1B4,NXF2,nuclear RNA export factor 2,KO-only,0,0,0,None
Q96N96,SPATA13,spermatogenesis associated 13,KO-only,0,0,0,None
Q7Z6B7,SRGAP1,SLIT-ROBO Rho GTPase activating protein 1,KO-only,0,0,0,None
B3SHH9,TMEM114,transmembrane protein 114,WT-only,0,0,0,None
